,0,1,2,3,4,5
s03T1922,3.1151138745001106,0.4110139664497078,3.447746600515573,3.1540693369201107,0.031054609126856543,0.6081599507040981
s04T1922,0.693501802515766,0.13281130739269317,2.860087695275587,8.042887984860807,0.0,0.16334845531174014
s05T1922,1.4874626633628967,0.1639578223569642,3.614942524059454,5.123937623695619,0.0,0.24069399611942077
s06T1922,1.1644815323786952,0.13111929201716607,5.973640360297961,4.654381269835368,0.0,0.18770314316804285
s07T1922,0.5784459063709056,0.11502571422162934,6.904928828926958,6.870503535416836,0.0,0.12071357801234718
s08T1922,0.0,9.753577071056254,0.23931101222675344,0.0,0.0,0.0
s09T1922,0.514262418621411,0.5935484804011762,0.35432563832758257,0.30506145326052875,0.1388736400522237,0.5389441724321393
s10T1922,0.5542387866372399,1.2655654485134327,0.198624166700399,0.3915301035248301,0.024887014412298156,0.26607132523279137
s11T1922,48.11864447262956,0.19184161907953434,0.0,0.0,0.0,0.008102452178297281
s12T1922,57.351513787673326,0.0,0.0,0.0,0.04387917489167823,0.015199758452207226
s13T1922,1.8991218405313415,0.5050084218246023,0.5509329904846225,0.9848159476038048,0.24402397004620632,0.4493273988653484
s14T1922,37.75982765653243,0.0,0.0,0.5033147737386444,0.17661559411199276,0.2132163952031444
s15T1922,5.444008943673469,0.5558872092222398,1.5528878271069808,2.0916752119576305,0.09002788207614493,0.650118452947805
s02M2022,0.0,0.5530573869258828,33.2910683584607,0.0,0.015329376856791588,0.11878854752085471
s03M2022,0.9993676206440432,0.6428038087883813,5.517827499258006,5.814619419195325,0.0,0.45278434683541724
s04M2022,0.6033217352512956,0.4656883579601272,5.284845448671885,2.326919700062898,0.018815711848832104,0.2778353447522479
s05M2022,0.11420451927051709,0.0,13.754414732751098,12.760271178951422,0.0,0.03705493761179888
s06M2022,0.2734245753528802,0.05396938042596509,11.823761094794962,14.330426896081093,0.0,0.16354398430576159
s07M2022,0.770249919718845,0.3545218394368955,6.269592910738645,3.9307336211283315,0.0011271482058721372,0.2214902332192448
s08M2022,0.0,12.50925302278055,0.0,0.0,0.0,0.0
s09M2022,0.1147079332345682,3.4871686281823915,0.0853399148140284,0.10738240552433513,0.008697070701225027,0.328042842712412
s10M2022,0.1549264352372045,1.304072182076767,0.13104964192683546,0.15387567575621314,0.021743410262510695,0.5352181663474088
s11M2022,0.1942776834712074,1.1133376136342137,0.15160820963799881,0.1791297034138756,0.01677466147496705,0.724999040277028
s12M2022,0.22644860674585365,2.7312867152235336,0.21423382700287316,0.24477166586256466,0.026986997831217045,0.7097965871084441
s13M2022,0.19735426445461793,3.368342841469727,0.18444697761045745,0.2297140881792411,0.016282383729770006,0.261635617763145
s14M2022,0.2628429725039881,1.8095178548975062,0.25993569695507934,0.44072095015101004,0.11956434213412688,0.40230006692331105
s15M2022,1.6401466423250612,0.49039742109800244,0.9786802260476996,1.1510680978017571,0.07164085570745896,0.38146833088575444
s02T2022,0.32803645239523005,0.0,17.864726271242215,7.398196708828035,0.0,0.0
s03T2022,4.881373686522304,0.2630259804476912,3.522492847236446,1.8742751293083382,0.04978259048600922,0.2502408810982597
s04T2022,34.1345893030603,0.0,1.8402116832641304,3.3389995247156334,0.0,0.009939911715478957
s05T2022,0.9979820256632574,0.16406506592885062,3.3242243755636394,4.351538047892045,0.0,0.13764327971907322
s06T2022,53.69450852829327,0.0,0.0,1.9707578363551272,0.0,0.0
s07T2022,3.611520794138134,0.06806889279689961,5.141808317933942,5.816290269881336,0.011610867281514926,0.13166842091048522
s08T2022,0.0,5.926508584704811,0.0,0.0,0.0,0.0
s09T2022,0.15233634421328587,0.5175055516967346,0.1060731299177423,0.13763904269780483,0.0,1.2347086989837321
s10T2022,0.5093968490701949,0.4095071120591253,0.2974499408832648,0.361597366069987,0.028443384726830993,0.725091921961291
s11T2022,0.7318089723132084,0.5619018149897176,0.4382251134906601,0.5311687227410501,0.03484887875248663,0.7399357989136877
s12T2022,0.4313902861499893,0.5477633774829891,0.5670774261573289,0.5146610672275639,0.17784440246854347,1.460182657907087
s13T2022,0.3497857526748267,0.23132856649169412,0.0,12.54670446793875,0.17303294731329386,0.2533624327975421
s14T2022,0.8426219962058258,0.6586189521463293,0.772625217091846,0.8752501992619901,0.07768244346483223,1.4904428457990566
s15T2022,14.403932505858673,0.6178274524349786,1.2185642162948458,1.3553853221388843,0.07381026571693697,1.1050974511121125
s02M2122,1.4074170573761169,0.37988200522891735,8.999857223046382,0.827273259965168,0.042439916957649926,0.3964451140848983
s03M2122,1.1587751984755759,0.3086593054843165,2.8416632228457064,3.6513193002369118,0.01369678123773615,0.2390933864573186
s04M2122,0.7753976306250068,0.240690888029617,4.466595335874264,4.247922073267791,0.0,0.24936713437354047
s05M2122,0.36304763866871004,0.026621231463731687,12.87391368455978,6.263783172739614,0.0,0.039825258692392514
s06M2122,0.15128245059898515,0.16002154460491322,15.680219112223005,2.216095227110635,0.039171805249387036,0.1287941264995881
s07M2122,1.1155347956836181,0.2085454540857273,4.194294277936008,3.67599966616939,0.0,0.23209904308853505
s08M2122,0.0,5.252414452837942,0.0,0.0,0.0,0.0
s09M2122,0.11916487088039396,0.806793447707555,0.1047678417200031,0.1638025745504761,0.024604905595154596,1.5703365438064252
s10M2122,0.3148191760514178,0.6575083781601058,0.22412546706134484,0.3984309130898342,0.04289681424139388,1.5575764253239341
s11M2122,0.41084174043671723,1.379480899041477,0.2601282002961495,0.23599858928226608,0.027997689314603565,0.9187539613157893
s12M2122,0.2146694725504848,0.6729013125175083,0.208812455776817,0.22908884563060916,0.07142739149536942,1.1590577293805544
s13M2122,0.34870103890004334,0.5066261945931018,0.21192708316419326,0.24309621600037506,0.06134011383987888,0.7837456421169705
s14M2122,0.7991731419757572,1.1988453867556879,0.5530836310756604,0.5521566943729291,0.11107119640205433,1.174884216706578
s15M2122,1.199970344355522,0.33855879147925644,0.9584423403260726,0.8029194395789583,0.027315059406166253,0.30838462208033673
s01X2122,1.5073259926204408,0.3387695710587767,0.9783543932743987,1.3485197804897526,0.19260954840689334,0.34744887221469084
s02T2122,1.8104403460483485,0.22616075247275338,19.378504233466344,3.909219273968751,0.009338750055276247,0.43513001179431426
s03T2122,0.8324003846901779,0.053688916934536667,4.120557009016842,3.6576420830058813,0.019874323791790216,0.08617391950089447
s04T2122,0.8483274088496984,0.22632271764392015,2.442468937638607,8.497086195368972,0.0,0.28341537740796857
s05T2122,1.812604970254032,0.39313577626644847,3.1207523765389924,4.49980282033739,0.0,0.326086354813965
s06T2122,0.4316464651295531,0.0531548386062921,3.76883089613691,7.101326591047856,0.0,0.14706004018989144
s07T2122,0.09939041125049097,0.0,0.0,42.55294096367748,0.0,0.0
s09T2122,0.7283796359928321,0.7080981161009927,0.39310131294801315,0.47395752249620476,0.02196004447712343,1.3259890445055367
s11T2122,0.663778598216583,1.0559310644659674,1.132027434331311,1.3097860144771643,0.07302662869775792,2.871710518949008
s12T2122,0.8820383928299094,0.7183496010700081,0.5653814253953354,0.7333801049033793,0.2974738748263265,1.7025941779335323
s13T2122,0.8328005315665844,0.8049090290002439,1.0644608743241295,0.962895549710197,0.0679142512529059,2.4654472365971043
