,0,1,2
s14M1922,0.3521712866715636,0.24228246036639633,0.38554641741156714
s15M1922,0.35852761826958396,0.06908656488222453,0.46280918332035675
s01X1922,17.816112310388736,0.03109291690006715,0.3108620943277793
s02T1922,2.373579949656291,0.0,6.445177889163844
s03T1922,2.681579744706786,0.016947011702004047,4.434738929354723
s04T1922,0.6505806367571398,0.0,9.617158891978669
s05T1922,1.349537709139322,0.0,6.703158280602159
s06T1922,1.244399234172779,0.0,6.748644671709541
s07T1922,0.8053911494240192,0.0,9.51892222076967
s08T1922,0.09011937761920776,0.007878115765931431,0.26971536835024623
s09T1922,0.4506970671075697,0.10071977083058388,0.49862265066504646
s10T1922,0.491892165742615,0.027119782617190655,0.5408047783325752
s11T1922,38.60467706877479,0.0,0.0
s12T1922,46.00173246783869,0.02536690263712091,0.0
s13T1922,1.5614696257864116,0.15322685562218813,1.286967448100757
s14T1922,30.305241019213476,0.10800231999572996,0.17814058746737557
s15T1922,4.458488877641618,0.061271142100737114,2.7909941152254736
s02M2022,1.6722340941624492,0.005437365176365779,4.659376428143354
s03M2022,1.0641018604959585,0.0,7.810763635253138
s04M2022,0.8027789257726747,0.0039317624380801625,3.965013349278925
s05M2022,0.7246544474813217,0.0,17.319484938233106
s06M2022,0.700424587431986,0.0,18.83709530025376
s07M2022,0.995892082421568,0.0,6.177308478105164
s08M2022,0.09732899431481293,0.010642381894982277,0.317620744430699
s09M2022,0.18435727592478304,0.02595461815793892,0.28810574746280293
s10M2022,0.16573414566862363,0.033821864544515745,0.2912069398637798
s11M2022,0.1941268802618083,0.03667130198925094,0.3337961275081567
s12M2022,0.263586103589214,0.04785946262982135,0.4816217707048845
s13M2022,0.25389261480992925,0.02767984637993888,0.43910054804758414
s14M2022,0.2687883207167153,0.0875800911875036,0.6551311033481013
s15M2022,1.3793468793565051,0.048158004173490435,1.5886538711292548
s02T2022,1.2259341593843602,0.0,11.353953072873653
s03T2022,4.125936212670957,0.024306517386534894,2.9376580221291846
s04T2022,27.487203750608735,0.0,3.968499502634596
s05T2022,0.9489437576458727,0.0,5.770736875636056
s06T2022,43.10940035458234,0.0,1.626180480182546
s07T2022,3.174236009910982,0.0,7.791113815850051
s08T2022,0.05395040388268272,0.005769642598855182,0.1540486479103954
s09T2022,0.1432182291349959,0.038071518278024394,0.28849597472220057
s10T2022,0.4370048978795787,0.042242915363435725,0.5508694079793942
s11T2022,0.6273558664058507,0.04540450429016579,0.781268201030473
s12T2022,0.39273504344269156,0.15499783340507386,0.8564262106652897
s13T2022,0.1677163937698644,0.08450428292085597,13.126852532535139
s14T2022,0.7353149858232191,0.09578006467421782,1.3238502281063285
s15T2022,11.654761808792697,0.07542667169460723,1.8362651068557123
s02M2122,1.6539035263896067,0.02627303119567086,2.748941249093056
s03M2122,1.0658950048759157,0.0,4.761617672558601
s04M2122,0.855398285155722,0.0,5.943224278209791
s05M2122,0.9613973373772107,0.0,9.921520760104661
s06M2122,0.9993141398257517,0.005536831954603606,5.597881832257622
s07M2122,1.1222279379724547,0.0,5.283761306301313
s08M2122,0.06221779516362782,0.006685077829719167,0.14959551358525974
s09M2122,0.12459654339242496,0.0711843882426385,0.3654387173065737
s10M2122,0.28405047149036167,0.08239605006757993,0.6454452695527272
s11M2122,0.3828228271572659,0.053316081806137984,0.45659773973537
s12M2122,0.20331273496801783,0.08579261803775809,0.4270566653579177
s13M2122,0.3071170059241198,0.064708481602982,0.40741518024082546
s14M2122,0.7078787079975403,0.1087131980473343,0.8991258592807296
s15M2122,1.0269289639024386,0.0214641533147672,1.182368171984834
s01X2122,1.2652028114962106,0.11557818747048249,1.793205895381382
s02T2122,2.4929335044839798,0.0,8.101257656331112
s03T2122,0.8773533657106405,0.0,5.150394817963849
s04T2122,0.7340546407473809,0.0,10.045259768424573
s05T2122,1.5981082394055675,0.0,5.917348491251891
s06T2122,0.46896531335646074,0.0,8.957762187967248
s07T2122,0.0,0.0,44.42697091772201
s09T2122,0.6286110626284516,0.05612286845987788,0.7543948657801549
s11T2122,0.6199612311414245,0.14237609086630004,2.049773711660298
s12T2122,0.7574778026496254,0.23262938219347015,1.1213587850702613
s13T2122,0.7506056294441044,0.12470930726192468,1.5882752681280508
s14T2122,0.8047565817465404,0.1536835264799542,1.4716781309899916
s15T2122,4.248492108570021,0.06046898660194828,4.171020523029888
s02M2222,1.781652922409585,0.009562579838363613,2.959192789009005
