,0,1,2,3,4,5,6,7,8,9,10
s15T1622,0.132104363352097,0.0,0.05454923806203123,0.0,0.0,0.19430705891641756,0.0,0.22710719644049873,0.19851594377805926,0.09514727259731362,0.0982689268535826
s02M1722,0.36586675219272335,0.0,0.0,0.0,0.0,0.3486384755134822,0.0,0.011902013660093365,0.2607456443727162,0.0,0.012847114260984822
s03M1722,0.4092241477283418,0.0,0.0,0.0,0.0,0.3076045625239998,0.0,0.010674886753811742,0.2554132207465082,0.0,0.017083182247338548
s04M1722,0.4616638042646545,0.0,0.003281657825231238,0.0,0.0,0.29348292182709584,0.0,0.04236414067249904,0.1758849715119043,0.0,0.023322503898615125
s05M1722,0.4058979190158998,0.0,0.01848172343493125,0.0,0.0,0.38767936923773527,0.0,0.06418253595840864,0.11060854483742993,0.00021766545621062217,0.012932242059384568
s06M1722,0.47741962629226653,0.0,0.033065418612371944,0.0,0.0,0.33119469376835564,0.0,0.06805419527613531,0.06662757172976266,0.0,0.02363849432110778
s07M1722,0.3555702687148328,0.0,0.13019988357016,0.0,0.0,0.28158241173318854,0.0,0.1050701332101693,0.07151678151682386,0.016428541793668327,0.039631979461157194
s08M1722,0.0,0.4949360470574592,0.027388075988431775,0.07835546061496727,0.0,0.0,0.0,0.0,0.0,0.3993204163391417,0.0
s09M1722,0.0,0.0,0.056289619333947424,0.00766641831884488,0.0,0.007988083479267917,0.0,0.2838547405176918,0.01362673061155624,0.6305744077386917,0.0
s10M1722,0.0,0.042546177915840436,0.04745536129229293,0.0,0.0,0.00358192563827096,0.0,0.3903151738585614,0.04418007624424409,0.47192128505079034,0.0
s11M1722,0.0,0.0,0.06011226548871718,0.0,0.0,0.011737925334442336,0.0007185407845274347,0.23809501147672477,0.00647583139920859,0.6828604255163796,0.0
s12M1722,0.017316349773030308,0.0,0.0675948393408922,0.0,0.0,0.01956418486770864,0.009315615410539511,0.420608627395106,0.01313291358259752,0.4524674696301258,0.0
s13M1722,0.008457553995175048,0.0,0.07819990256217725,0.0,0.0,0.0,0.0021434171042550277,0.37885387845352536,0.01588024769227588,0.5164650001925913,0.0
s14M1722,0.007304640563658275,0.0,0.06474910626085918,0.0,0.0,0.06072434656434846,0.0,0.5094807527717063,0.028941377629710982,0.28831707989563093,0.04048269631408564
s15M1722,0.12445342234095973,0.0,0.0775445940995076,0.0,0.0,0.1523125387211626,0.0,0.3106517214821008,0.08314818070271736,0.13005326423938465,0.12183627841416732
s01X1722,0.25189876628247937,0.0,0.33881876713384446,0.0,0.0,0.23226352772073858,0.0,0.13068939733680116,0.030938462962800783,0.0027382631780069003,0.012652815385328926
s02T1722,0.31311158904622916,0.019737030044042994,0.2226633750557777,0.0,0.0,0.26666132390465774,0.0,0.06662014353549724,0.08731110911389812,0.01348887335980764,0.010406555940089404
s03T1722,0.2735324383445518,0.005717345511542919,0.32226535671566203,0.0,0.0,0.25999225937038906,0.0,0.07732013636813764,0.04299888445297161,0.00634636492419008,0.011827214312554707
s04T1722,0.31917073651740424,0.006648361882422057,0.06853852161511498,0.0,0.0,0.33924935960813496,0.0,0.06146844305516833,0.19408874236789458,0.0,0.010835834953860929
s05T1722,0.3286900830869703,0.0006031713142763345,0.12113551235645098,0.0,0.0,0.37892057016858344,0.0,0.06472220615285317,0.10117519992129952,0.0,0.00475325699956637
s06T1722,0.2711359111846403,0.006944479485954909,0.046280982403469506,0.0,0.0,0.3441182140362339,0.0,0.08844349677160318,0.23496161511240202,0.0018416021500840525,0.006273698855612236
s07T1722,0.18800560932472687,0.0,0.4261324464030917,0.0,0.0,0.1617409240757314,0.0,0.18177410008238162,0.0,0.025861463165003807,0.01648545694906459
s08T1722,0.0,0.22844584982417135,0.041961104238149166,0.15161664917075204,0.0,0.0,0.0,0.0,0.0,0.5779763967669276,0.0
s09T1722,0.0,0.22033008764384993,0.020581841487072726,0.12177454011616866,0.0,0.0,0.0,0.0,0.0,0.6373135307529088,0.0
s10T1722,0.0,0.0,0.08312967360190074,0.0,0.0,0.0035933708587864185,0.0,0.24021302769800076,0.009240677315235845,0.6601863515942548,0.003636898931821613
s11T1722,0.0,0.0,0.08081992579139967,0.0,0.0,0.004723899894831414,0.0005286827467043777,0.2258652620812464,0.0024434403380165183,0.680270753557389,0.00534803559041268
s12T1722,0.0,0.0,0.03729090376025188,0.0,0.0,0.03796544904204629,0.0,0.46913144874798773,0.00697498091121034,0.4397668202620671,0.008870397276436626
s13T1722,0.0,0.0,0.08030870437929621,0.0,0.0,0.03927949450965697,0.0037681853165579702,0.4722808404677707,0.11956460187293241,0.2847981734537859,0.0
s14T1722,0.0,0.0,0.0531398478121177,0.0,0.0,0.11976667601229568,0.0,0.5339163330503577,0.0,0.22168470024667045,0.07149244287855858
s15T1722,0.0986481259635056,0.0,0.2306865954034531,0.0,0.0,0.16504578528457065,0.0,0.269018858696735,0.061622641292262165,0.06999319524994323,0.10498479810953025
s02M1822,0.0620022505601515,0.03055821188688226,0.6727926121992555,0.0050934245957600325,0.0,0.08217021516102196,0.0,0.12166071331506943,0.007790216655792342,0.01793235562606689,0.0
s03M1822,0.0764933466331057,0.05602182649285635,0.3891655697525748,0.0,0.0,0.16369862941945476,0.0,0.12459497623012297,0.17169549193878766,0.014711779213119561,0.0036183803199782588
s04M1822,0.011252169174571548,0.04075371268235734,0.6005962143476056,0.0,0.0,0.14111570979795457,0.0,0.08985479195653163,0.11642740204097939,0.0,0.0
s05M1822,0.0,0.04083683668204712,0.10863875174617174,0.011499189965108042,0.0,0.36982346745945294,0.0,0.046913059840398244,0.4222886943068219,0.0,0.0
s06M1822,0.0,0.011307966088248111,0.07451121102766979,0.0,0.0,0.19121188705898706,0.0,0.031505453096639637,0.6914634827284554,0.0,0.0
s07M1822,0.0,0.02249704368236153,0.25402493160978484,0.0,0.0,0.12857353686729406,0.0,0.06799431850337002,0.5251185929729025,0.0012275498218028967,0.0005640265424841113
s08M1822,0.0,0.3484132215141274,0.03622775653649328,0.14265051427350134,0.0,0.0,0.0,0.0,0.0,0.47270850767587796,0.0
s09M1822,0.0,0.19102008017803188,0.04558749790393654,0.1020855588183817,0.0,0.0,0.0,0.0,0.0,0.6613068630996499,0.0
s10M1822,0.0,0.06567884681166365,0.0984550619588425,0.09027131821887616,0.0,0.02209730344980236,0.0029335390370564727,0.0731052187695506,0.0,0.6474587117542082,0.0
s11M1822,0.0,0.15224888409192353,0.052516379026094254,0.015766188256292887,0.0,0.0,0.0,0.16099050186400704,0.017840373055861183,0.5954280455932547,0.005209628112566454
s12M1822,0.0,0.0,0.10458289660326382,0.027968777779143243,0.0,0.0,0.025942579350842872,0.1737583412081791,0.0,0.667747405058571,0.0
s13M1822,0.0,0.017537110274838084,0.11263796992436093,0.010928461977376899,0.0,0.0,0.01366620512145642,0.2476337747103818,0.009313897489307074,0.586437006721095,0.0018455737811839293
s14M1822,0.0,0.0,0.09797705503887397,0.0,0.0,0.0405808071079241,0.0,0.5033761473383926,0.0,0.32085256663582296,0.03721342387898644
s15M1822,0.0,0.0,0.15777926140848514,0.0,0.0,0.06218972024288297,0.0,0.40855420343757615,0.1598325870397284,0.08204780678743608,0.1295964210838913
s01X1822,0.008583484151983928,0.04393953811140791,0.5755605344271852,0.0,0.0,0.11241260915115617,0.0,0.13992309043352952,0.10634759210885941,0.012327919143257331,0.0009052324726205925
s02T1822,0.07099481857088649,0.015023861645042599,0.5375321938347216,0.0,0.0,0.14511342447548642,0.0,0.058250279880845586,0.16988091733362634,0.0,0.003204504259390829
s03T1822,0.11980190630370752,0.034762464629049486,0.42985211233282045,0.0,0.0,0.21671591622751557,0.0,0.03702913206280847,0.15992586760730765,0.0019126008367907898,0.0
s04T1822,0.17910476816964346,0.024812740334209226,0.36218143816965465,0.0,0.0,0.16975831469768812,0.0,0.06169735528980631,0.2024453833389983,0.0,0.0
s05T1822,0.12010782332195205,0.027978384039046317,0.2895808805582896,0.0,0.0,0.14943144934156655,0.0,0.07687024364415816,0.33052963939935787,0.005501579695629608,0.0
s06T1822,0.011128866923188404,0.031342346038727625,0.1702398713880838,0.0,0.0,0.20971605919316755,0.0,0.08440364494583616,0.48359541686066365,0.009573794650332756,0.0
s07T1822,0.0,0.02310520353601991,0.471172345713883,0.0,0.0,0.16201150264971317,0.0,0.06968329177110374,0.27402765632928017,0.0,0.0
s08T1822,0.0,0.25039761828478674,0.03679629339863686,0.15187234709507694,0.0,0.0,0.0005493686862339035,0.0,0.0,0.5603843725352656,0.0
s09T1822,0.0,0.09536774030369748,0.07434760711866603,0.07948228436801272,0.0,0.0,0.019762513664543395,0.051478024675020384,0.0,0.67956182987006,0.0
s10T1822,0.002822068675367936,0.008061582215790432,0.10054765529080119,0.0,0.0,0.0,0.037240443670334765,0.3234646767131693,0.0003693938507933364,0.5274941795837431,0.0
s11T1822,0.0,0.009195261094913122,0.13157928604125202,0.003946281524306998,0.0,0.0,0.009457284449620545,0.26855899146623186,0.0013153619315865162,0.5748094440419363,0.001138089450152502
s12T1822,0.0,0.007614589767439248,0.10314508198190724,0.0,0.0,0.0,0.0,0.40427066789638527,0.009069667751966236,0.4743519844374696,0.001548008164832142
s13T1822,0.0,0.0,0.0959966479466141,0.0,0.0,0.019609654336675685,0.009558482771330867,0.5023810016847117,0.0,0.37245421326066763,0.0
s14T1822,0.0,0.0028115285773336342,0.09248641961347003,0.0,0.0,0.05899859930008566,0.0,0.5651635493492109,0.044788879621006215,0.12288192050263576,0.11286910303625777
s15T1822,0.0980619867116086,0.021779338155732585,0.26827076230403746,0.0,0.0,0.06800945792488358,0.0,0.2561159689501174,0.2059875956898705,0.021871065704925623,0.05990382455882442
s02M1922,0.0,0.02818582583146162,0.6691557879671752,0.0,0.0,0.07674787882174935,0.0,0.029717371948824314,0.19619313543078942,0.0,0.0
s03M1922,0.0,0.009690386194297955,0.4583911348659545,0.0,0.0,0.09492239668081151,0.0,0.016519983600464788,0.41944849408518314,0.0,0.0010276045732880734
