,0,1,2,3,4,5,6,7
s02M2222,8.499873983420759,0.0,13.491400384709893,0.2434323077497601,0.0,0.6307089138117626,6.261985240629284,0.0
s03M2222,5.212486041177095,0.0,6.107361450060659,0.025733277810062214,0.0,0.8806106437841613,3.435202121250564,0.0
s04M2222,7.512040691850798,0.023063805773896055,2.994449005883904,1.0195502734482946,0.0,0.32680091110154436,3.7101509613521633,0.3393127963875721
s05M2222,16.876051608107343,0.0,4.133011502968042,2.1506282543249227,0.0,0.53956103475531,9.387273294082465,0.5933884283588858
s06M2222,19.877783248653994,0.010049071601476032,0.42235097453475345,0.7441602287803782,0.0,2.489496608157143,4.0378035341884555,0.8547843168043724
s07M2222,23.441859258128734,0.0,5.689949080626962,1.866721000344422,0.0,1.847993264676451,6.656408902551796,0.0
s08M2222,0.0,10.312440730049286,0.028167302516296046,0.14053994062741762,0.0,0.0,0.0,1.4286943081141061
s09M2222,2.6946900514359378,4.392326902744251,0.0,0.0,0.0,0.0,0.0,10.128366799830093
s10M2222,0.03471252069830131,0.41903065191962147,0.9418831296046289,0.0,0.0,0.30606026837831274,0.0,8.764825284620025
s11M2222,0.9956730920252684,1.1443201033660035,0.0,0.019891799624466664,0.0,0.0,0.0,8.006322195239777
s12M2222,1.292566182600968,1.3345366105586391,0.021596733136796095,0.24344482095839423,0.0,0.0,0.0,6.595809931394891
s13M2222,0.0,0.4771622402454342,1.802880759550651,0.0,0.0,0.534743745004012,0.0,11.514213272347513
s15M2222,9.151904379787872,0.459398889201157,3.401693906375389,2.0168536036600697,0.10262333177895559,0.9716261133646961,0.34914069051407864,2.833989777339905
s01X2222,4.359936221664556,0.0,7.410153537183082,1.0547188059341248,0.0,0.0,3.713779493278508,0.09656572409535177
s02T2222,6.322829005765464,0.0,12.763393701393872,0.06346726158303882,0.0,1.4579423339867077,7.080248369989748,0.0
s03T2222,2.3137374188103044,0.02551590544244174,9.717014643192472,0.0,0.0,0.957746416110213,4.785951751967605,0.0
s04T2222,7.02065636994833,0.0354427801453172,4.215831436733004,0.0,0.0,1.7923293947490513,5.562986187876409,0.04885683159412209
s05T2222,4.677664080459742,0.0,1.9175678399665896,0.06532547999123203,0.0,1.3501997301951556,3.7238252058806376,0.0
s06T2222,5.100126452889949,0.02366672131924289,1.853972621849437,0.031028920557852214,0.0,1.6387142291280852,4.378764877411466,0.03415280507430186
s07T2222,16.239504592086227,0.0,6.401730848241126,0.09249381572309072,0.0,2.469630665776776,11.066499959207658,0.0
s08T2222,0.0,17.127899049508432,0.0015681345084194182,0.03400205308899314,0.04683616752464854,0.0,0.06009159273182291,0.9620195814586826
s09T2222,0.0,0.9419861431034559,0.3068340255771598,0.0,0.0,0.11236202602231483,0.0,5.9343530273479
s10T2222,0.31547225042764787,0.8275362090680288,1.0420647988497698,0.8643426285559386,0.0,0.13484449402342621,0.0,8.48323027710235
s11T2222,0.0,1.1754055717209555,0.41642753033475144,0.0,0.0,0.13971538975273465,0.34108886529972826,5.901546854564126
s12T2222,0.6037660664920048,0.7177933827459232,0.16331082780847284,0.0,0.0,0.12346448521679064,0.23877457229237445,6.1207538842587415
s13T2222,0.2953596319258955,0.4583920127778306,0.16573497641503393,0.0,0.0,0.12573124087892845,0.1876895055021453,3.7063079436576545
s14T2222,1.9646790163854115,0.0,5.674353609782081,0.6419141853454831,0.1550679608638539,1.4821559648072133,0.3372321202231614,2.6874929807708896
s15T2222,12.883018826374906,1.4374474716120578,0.0,0.8017785508418577,0.0,0.0,0.0,9.53483524026515
s02M2322,6.498165398571385,0.0,16.69044911253071,0.291772316163371,0.0,0.0,11.173718757880415,0.0
s03M2322,1.629373359527992,0.0,2.4872441270134265,0.06881558219838471,0.0,0.412101919991847,3.7138126913288763,0.0
s04M2322,3.3307010292589796,0.0,12.357610792750002,0.03198174910986836,0.0,0.0,8.195168296388806,0.0
s05M2322,5.814577211325066,0.0,5.458194441742425,0.18124095344764443,0.0,1.453786883197535,7.900396125272595,0.0
s06M2322,0.8776181018240382,0.026279214028109517,5.066218579515954,0.0893246539837671,0.0,0.4372442204445389,4.2726319412605855,0.0029337966770833397
s07M2322,0.0,0.0,38.94819692113112,0.0,0.0,0.0,2.61212227565576,0.0
s08M2322,0.0,5.158476054629949,0.0,0.0,0.0,0.0,0.0,0.9084359847679088
s09M2322,0.0,0.6019241417826204,0.0,4.40666833203805,0.0,0.8853269674547068,0.0,9.07929596460348
s10M2322,0.0,0.3700981033601897,0.10688041328942377,1.7777909148375557,0.0,0.44319198309266794,0.0,5.106674346100426
s11M2322,0.5187671432487154,0.0,0.0,8.859815465235025,0.0,0.0,0.0,8.226334031964127
s12M2322,0.0,0.11444967122055408,0.0,2.306122862919852,0.0,0.0,0.0,4.4353258830299565
s13M2322,0.0,0.4005833552803613,0.03178578154409174,3.842939864615987,0.0,0.12266855745755961,0.0,7.512844330521967
s14M2322,1.4392324467114275,0.0,0.0,5.85384128053545,0.0,0.0,0.0,9.072444344521164
s15M2322,0.5061879713255083,0.0,0.02957573790224377,0.9616674996657357,0.0,0.015818698393163636,0.0,0.6356606257269509
