,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
s13T1722,6.1240152434603035,0.12140248219322043,0.4466467987546154,0.0,0.0,0.0,0.0,0.8662757322452881,0.0,0.5322464616485654,0.0,0.14695848359294922,0.24276652715558453,0.0,2.7610992724460015,0.0,0.07855773292292637,3.296735114826346,2.7516458548295235,0.0,0.6332600531475615,0.0015798517998927163,0.0,1.95290565409964,0.0,0.0,0.0,3.1239401653292465,0.2143721530188689,0.5544169117482365,0.0,0.0,3.9160668735958155,0.0,0.0,0.0,0.07399046868208771,0.0,0.04742227156890639,0.0
s14T1722,0.0,0.23140549534983373,0.5865043972039127,0.0,0.0,0.0,0.0,0.9053476863503566,0.0,0.0,0.8440388856307639,0.09821318560802926,1.4384235039455384,0.0,0.0,0.0,0.03128703349187718,2.4462596396166845,6.79030612254712,0.0,8.784921106201146,0.007036150683588649,0.6585013202267129,0.4020172226280838,0.0007098152022708433,0.0,0.0,1.4176528646115178,1.3677568330602996,0.0,0.0,0.0,12.843407414409441,0.0,0.0,0.0,0.0,0.0,0.08614861342001848,0.0
s15T1722,7.084725237526287,0.3914504599851543,5.595980962474725,0.008685492273430524,0.0,0.0,0.0,1.012036279612232,0.0,1.6855667854415552,1.778281698949382,0.0,3.270033416542899,0.0,0.0,0.29912828535468605,0.0713581136892909,2.9480952999537338,0.0,0.0,4.081066148015124,0.0,0.0,5.515350396068506,0.09438543648832569,0.018657948455417118,1.7962922072626673,0.0,6.362195148373616,5.369236909923157,0.0,0.0,6.783236290289187,0.0,2.9216790590959505,2.0242139920240882,0.0,0.0,0.0,0.0
s02M1822,0.0,1.3134304905030167,6.636337050140031,1.1335179941527977,0.0,0.0,0.0,0.45693481552479104,0.0,0.40880777649625194,0.006306874025342475,0.0,1.7573171405436223,0.0,0.0,0.0,0.14650741185800342,0.11923611066688024,0.0,0.007365701315217045,0.46560108225886865,0.0,0.4545200815118421,2.167233778377881,0.0,0.0,2.8898516968793873,0.0,9.48775026044061,17.318441553474607,0.0,0.0,2.2841657819095724,0.0,0.7069213131872828,0.0,0.06338113968690343,0.0,0.0,0.0
s03M1822,0.0,1.348043418086425,11.569016873854125,0.5010266169041313,0.0,0.08400377127470908,0.0,0.2187837350867324,0.0,2.2238864992663085,0.018998131181688,0.0,0.8562701269834465,0.1978056389896748,0.0,0.0,0.0446876572773724,0.7305362675508844,0.0,0.0,0.47970902449833963,0.0,0.568905489131047,1.9874871740243247,0.0,0.0,0.1696029060636976,0.0,5.767692311548777,5.7009567326872626,0.1580171975569943,0.0,1.4039414438824067,0.0,2.3628233440468676,0.04133245724210798,0.07578254928331227,0.0,0.0,0.0
s04M1822,0.0,0.8267894487256027,8.478681753430198,0.2615852210048926,0.0,0.11170246655417332,0.0,0.24444119484072271,0.0,1.2365301119194287,0.0,0.0,0.5315919323153975,0.08912965945709067,0.0,0.0,0.03073813137510658,0.23339147006092512,3.0285016296481997,0.007950793063423441,0.0,0.0,0.10843461446645217,0.8275005408510274,0.0,0.0,0.46031036166577277,0.0,3.7430137019945966,7.550469043024063,0.1558507698978236,0.0,0.5734730130645961,0.0,0.09954745981392664,0.0,0.0,0.0,0.0,0.0
s05M1822,0.0,1.1680240697199933,33.14050869612149,0.5900006449096936,0.0,0.6548633249125266,0.0,0.17574728286423397,0.0,6.360228143996623,0.0,0.0,0.5365574045373195,1.3390575962623914,0.0,0.24496166879831355,0.01063881065078588,0.36388959705392915,0.6959302315046597,0.028634430568306807,0.1879280359941811,0.0,0.0,0.5060967933199673,0.0,0.0,0.7732781142622914,0.0,1.7034699808812712,0.0,0.24566957798276984,0.0017722512985032589,0.28305970983825723,0.0,6.519848276790592,0.0,0.0,0.0,0.0,0.0
s06M1822,0.0,1.0529482939735133,32.258916223803425,0.38384479019760664,0.0,0.49189862402502743,0.0,0.10522843704835691,0.0,17.52775908397776,0.0,0.0,0.510744708973412,0.1172955626476009,0.0,0.0,0.020223649420462033,0.10255303358487644,5.7836123311185075,0.04910954554774231,1.645684758492325,0.0,0.0,1.4345544984137282,0.0,0.0,0.696899367871284,0.0,0.5965820782640523,1.9883606980034847,0.880669458759906,0.0,0.5001037519716793,0.0,6.349085571585358,0.0,0.0,0.0,0.0,0.0
s07M1822,0.0,0.49022757279787743,5.467298611531761,0.21536887621907796,0.0,0.28031537808819224,0.0,0.09249546356400737,0.0,4.102224872461,0.0,0.0,0.2710590407221743,0.2103365290495879,0.0,0.0,0.012178066361636724,0.571271911651016,0.3278352221691918,0.0,0.0,0.0,0.08211446984414511,0.9571830079119253,0.0,0.0,0.20006327535198382,0.0,1.1733721701729367,2.7858093840470817,0.0,0.0,0.5472765974061297,0.0,2.071049596396811,0.0,0.0,0.0,0.0,0.0
s08M1822,0.0,2.7624518175767245,0.0,2.020791941015588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1669407684223396,0.0,0.0,0.0,0.0,0.0,0.0,1.6132336450249172,0.0,0.0,0.0,0.0,0.044040898976805215,0.0,0.0,0.0,5.844462835547368,0.0,0.38128162649034675,0.09665759592259557,1.3602555331514559,0.0,0.0,0.0,0.0,0.46927335130722747,0.0,0.31350587605248276,0.0
