,0,1,2,3,4
s12M1722,0.06185553324475997,0.29627036962499115,0.22262888844556442,0.4192452086846844,0.0
s13M1722,0.04264519450391874,0.3444484926426281,0.22758572661149024,0.3853205862419628,0.0
s14M1722,0.18340533302113948,0.1616058159760285,0.2287723471631985,0.4262165038396335,0.0
s15M1722,0.45852625401120584,0.04152011076971965,0.2343845527582236,0.2655690824608509,0.0
s01X1722,0.3495487759521707,0.01413359431063417,0.5732700616881556,0.0630475680490395,0.0
s02T1722,0.5204848596030166,0.04270411729327146,0.4107443686923784,0.026066654411333646,0.0
s03T1722,0.4046352798508688,0.025648013985557886,0.5325006263055063,0.0372160798580671,0.0
s04T1722,0.7425918465085721,0.02118618617961284,0.22221627199175886,0.014005695320056211,0.0
s05T1722,0.6294268638636816,0.019674322860952238,0.327238350392641,0.02366046288272534,0.0
s06T1722,0.7776472326438891,0.023698112136331936,0.18602560211163616,0.012629053108142854,0.0
s07T1722,0.1709314910875556,0.025093577678519198,0.6899034852948411,0.11407144593908404,0.0
s08T1722,0.0,0.6928671953717201,0.06881903810024063,0.2383137665280393,0.0
s09T1722,0.0,0.7136005052882406,0.052851537474802764,0.2335479572369567,0.0
s10T1722,0.02559718354123666,0.45431138671403615,0.21479049304802245,0.3053009366967048,0.0
s11T1722,0.0031292164213602043,0.4671275249821452,0.20476434751910724,0.32497891107738736,0.0
s12T1722,0.07737209037063401,0.29972201507063917,0.2005305999028097,0.42237529465591717,0.0
s13T1722,0.3466654921655609,0.178943079183636,0.16883616427755357,0.3055552643732494,0.0
s14T1722,0.19261015363490985,0.1259777601799768,0.2717097943429381,0.40970229184217516,0.0
s15T1722,0.3677321178297928,0.026534873458397123,0.3983228899041139,0.2074101188076961,0.0
s02M1822,0.05728791069209325,0.04729035424662591,0.8314902468983292,0.0639314881629517,0.0
s03M1822,0.47430694286225367,0.060697091031720045,0.4242365252464743,0.04075944085955193,0.0
s04M1822,0.32731078026063076,0.042145654728950016,0.6184664807414432,0.012077084268976104,0.0
s05M1822,0.8323991329537519,0.03274683675032984,0.13485403029591822,0.0,0.0
s06M1822,0.9767415276150441,0.005988718805255323,0.017269753579700568,0.0,0.0
s07M1822,0.8358472004959823,0.015233668544531783,0.14891913095948592,0.0,0.0
s08M1822,0.0,0.7425356501135889,0.061955755098533564,0.19550859478787755,0.0
s09M1822,0.0,0.6870439961804168,0.09075791989811557,0.22219808392146764,0.0
s10M1822,0.0,0.519435032806626,0.20174836323374407,0.27881660395963004,0.0
s11M1822,0.03766276521103896,0.5869346130336399,0.12055462483855611,0.25484799691676496,0.0
s12M1822,0.0,0.4573228385640379,0.217375585133408,0.3253015763025542,0.0
s13M1822,0.006736757804249178,0.4321922044093358,0.2311095538294009,0.3299614839570142,0.0
s14M1822,0.06268296107817088,0.21160471921018162,0.3087660967906812,0.4169462229209664,0.0
s15M1822,0.47388174306627506,0.025839493953781895,0.23173455124330622,0.26854421173663673,0.0
s01X1822,0.2918037644038643,0.050875791135203075,0.6119130973146145,0.04540734714631805,0.0
s02T1822,0.4421850713694073,0.018432786124535975,0.538877989530871,0.0005041529751858499,0.0
s03T1822,0.4930061913997932,0.03779201943517175,0.469201789165035,0.0,0.0
s04T1822,0.5604532881083997,0.028376624380643267,0.40969737995089794,0.0014727075600591481,0.0
s05T1822,0.7016124661947334,0.028962800724745153,0.26934634098989757,7.839209062381823e-05,0.0
s06T1822,0.8374726171331078,0.028901889147528233,0.13362549371936397,0.0,0.0
s07T1822,0.5757907907195954,0.024626382465553327,0.39958282681485124,0.0,0.0
