,0,1,2,3,4,5,6,7,8
s05T1722,0.3031415057416289,0.0,0.11333426531324431,0.003958339713851219,0.0,0.4095758154625582,0.0,0.055325098813521,0.1146649749551964
s06T1722,0.25174432859214535,0.0,0.03963009126609037,0.004554273041704773,0.0,0.3615002738172084,0.0,0.07933669948740753,0.2632343337954436
s07T1722,0.20765134077310984,0.0,0.413929811688518,0.017936730227470492,0.0,0.1728899194207611,0.0,0.18759219789014064,0.0
s08T1722,0.0,0.4599519710734313,0.03973064091005308,0.0,0.0,0.0,0.14484995802587303,0.3554674299906425,0.0
s09T1722,0.0,0.45776162770614015,0.008215801914287528,0.0,0.0,0.0,0.0892543172528764,0.44476825312669604,0.0
s10T1722,0.0,0.09229852603281284,0.055886442533017194,0.0,0.0,0.0,0.0,0.8422096704049298,0.009605361029240228
s11T1722,0.0,0.11413339912864456,0.0539570167071391,0.0,0.0,0.00010182978611697875,0.0,0.8316789519847989,0.0001288023933005545
s12T1722,0.0,0.0,0.0,0.0,0.0,0.03363924826091423,0.0,0.9537993026393516,0.012561449099734123
s13T1722,0.03005662412086653,0.0,0.0555607490847629,0.0,0.0005887365338383502,0.02800882376411168,0.03853074407856561,0.6817005595052477,0.16555376291260737
s14T1722,0.026359843209298878,0.0,0.019993761716481817,0.08570051820918544,0.0,0.12313357215236893,0.0,0.7410603773526789,0.0037519273599860197
s15T1722,0.1298216960464416,0.0,0.20675842527642094,0.12396809215851083,0.0,0.1678671973662463,0.0,0.29598670425351,0.0755978848988704
s02M1822,0.07858684523072923,0.01118335864988479,0.6713400213082603,0.0,0.0,0.08602070287377146,0.015183203449323262,0.12548046966356285,0.01220539882446825
s03M1822,0.08969417816326283,0.03338368270592454,0.36996664935937323,0.003346734691114608,0.0,0.17408687067406106,0.008233956551133598,0.11883842581719734,0.20244950203793277
s04M1822,0.028696223061680796,0.02297477788132141,0.581685505143103,0.0,0.0,0.15142371572689484,0.0,0.07597190561284664,0.13924787257415325
s05M1822,0.0,0.02936549448495626,0.09766736020061355,0.0,0.0,0.3803337972138646,0.01351977401041717,0.025814028945650765,0.4532995451444978
s06M1822,0.0,0.004871083517186456,0.0635469923859695,0.0,0.0,0.1912702008006231,0.0,0.019097828583377732,0.7212138947128431
s07M1822,0.0,0.009848289445658655,0.2277724314723715,0.000162475666646513,0.0,0.13284491867746587,0.0,0.052647985562722315,0.5767238991751352
s08M1822,0.0,0.5522357343050636,0.035257373094483506,0.0,0.0,0.0,0.13172418330901667,0.2807827092914362,0.0
s09M1822,0.0,0.42551454724927107,0.034698172522930906,0.0,0.0,0.0,0.059196871689646754,0.4805904085381513,0.0
s10M1822,0.0,0.23571253408529,0.08538648331252141,0.0,0.0,0.029008666644570573,0.053882184189792036,0.596010131767826,0.0
s11M1822,0.0,0.2959892925708797,0.027619490702558185,0.0,0.0,0.0,0.0,0.6550507222080914,0.021340494518470726
s12M1822,0.0,0.1307030869760128,0.0898821689818028,0.0,0.0,0.0,0.0,0.7794147440421844,0.0
s13M1822,0.0,0.12539358096697506,0.09676752673302509,0.0,0.0,0.0,0.0,0.7690264367271091,0.008812455572890864
s14M1822,0.04285546783549612,0.0,0.06963210134444452,0.03838865765342284,0.0,0.02672889835659679,0.0,0.819023732945592,0.0033711418644476777
s15M1822,0.010359911642395286,0.0,0.13556516939972255,0.16116493456598888,0.0,0.05342802726070408,0.0,0.44078645199371586,0.1986955051374734
s01X1822,0.033132312910726214,0.019097606151228744,0.560561692883166,0.0,0.0,0.11791563881543007,0.002731878405207229,0.13678086743616968,0.12978000339807194
s02T1822,0.07491193112837134,0.0025492304733923496,0.5135547892195522,0.0013417013159642474,0.0,0.15692018335520697,0.0,0.052018916903678804,0.19870324760383407
s03T1822,0.11332293914858561,0.02617528690982594,0.4085777840852529,0.0,0.0,0.23604014474690763,0.0,0.031405710748340726,0.18447813436108715
s04T1822,0.17189611474995242,0.011165220574099443,0.3447859686898821,0.0,0.0,0.18320599381045724,0.0,0.05318324505930377,0.23576345711630506
s05T1822,0.11847646288402186,0.012198549201657876,0.26761711289088247,0.0,0.0,0.15664533181316326,0.0,0.06925470666135024,0.3758078365489243
s06T1822,0.02407511415085007,0.01514727667576209,0.14924180429655798,0.0,0.0,0.21180805299318511,0.0006305861812436998,0.07397392758860838,0.5251232381137926
s07T1822,0.0,0.008665622636647916,0.44279957003653897,0.0,0.0,0.17327886700810277,0.0,0.060732677948179124,0.3145232623705312
s08T1822,0.0,0.46182019224962567,0.031007897543731143,0.0,0.0,0.0,0.13900675910640198,0.36816515110024106,0.0
s09T1822,0.0,0.29022998954766005,0.05860806493083546,0.0,0.0,0.0,0.037652563675838566,0.6135093818456658,0.0
s10T1822,0.0,0.08056850532833842,0.08186623483588928,0.0,0.0,0.0,0.0,0.8375652598357723,0.0
s11T1822,0.0,0.10632975609153068,0.11603691511294731,0.0,0.0,0.0,0.0,0.7776333287955219,0.0
s12T1822,0.0,0.045905130053181,0.08039531760577376,0.0,0.0,0.0,0.0,0.8656339725760641,0.008065579764981201
