,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
s12M1722,0.0,0.0,18.87226254966396,0.2161632367543717,0.0,0.0,0.0,0.5816831713872233,0.0,0.07445938462570828,0.0,7.594746926169207,0.030591989074143316,0.0,0.0,0.0,0.0,0.0,0.06348054949737461,0.0,3.1755766474574294,0.0,0.0,0.19077762815269664,2.0697858492691728,0.01795483188420812,0.0,2.3766049790686776,0.0,0.0,0.0,0.0,3.11740271191839,0.0,0.0,0.0,0.0,0.0,0.0025417095064737202,0.0,1.0748183755354384,0.0,0.6030418860386972,1.3607443914829083,0.0,0.0,0.0,0.0
s13M1722,0.0,0.0,20.353770238612803,0.0,0.0,0.0,0.0,0.6755727836684713,0.0,0.059385874917827444,0.0,11.509388792681571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7746221804071833,0.0,0.0,0.16777943724886663,2.108734560234481,0.00016462998571673424,0.0,3.1019914277370098,0.0,0.40207291170759935,0.0,0.0,3.8760958385985362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3812246399191959,0.0,1.404211945699031,1.208981299517242,0.0,0.0,0.0,0.0
s14M1722,0.0,0.011792744469547685,30.21206645333906,0.0,0.0,0.0,0.0,0.3753378778741266,0.0,0.06393980506606652,0.44167020556783515,4.345979057685824,0.3089960928119335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.037644671185324,0.0,0.0,0.30076689801780215,3.9303244660946888,0.0171895238819681,0.0,0.8566333052618432,0.0,0.0,0.0,0.0,3.9148977907797096,0.0,0.0,0.0,0.13212672665942524,0.0,0.0,0.0,0.35034062175349945,1.0933653548545434,1.4080621328129066,0.5786502555581607,0.0,0.0,0.0,0.0
s15M1722,8.67042294839351,0.03558285285481104,37.07007081063683,0.0,0.0,0.0,0.0,0.36998832894476086,0.33462672060382204,0.44260428486882597,1.620381645195154,1.3075580847121444,1.7324651818255516,0.0,0.0,0.5692019889589753,0.0,0.0,0.0,0.0,4.692466227955335,0.0,0.0,1.3719707679631217,2.518273740820027,0.06796756893977908,0.0,0.020657321636553636,0.0,0.0,0.0,0.0,3.029572198318954,0.0,0.6282896217917721,1.8301285463177566,0.0,0.0,0.0,0.0,0.33404255751483697,5.661662297196166,0.0,0.0,0.0,0.0,0.12127450794560433,0.0
s01X1722,0.0,0.13601747412746562,9.90553020832648,0.026326084595788165,0.0,0.0,0.0,0.024485328313392146,0.0,0.49076757963800466,0.02865417578303065,0.0,0.6516365227489628,0.0,0.0,0.1253063835401373,0.017288201650812213,0.0,0.0,0.0,0.0,0.0,0.47491040758646036,0.0,0.24542075980651978,0.08818884357544111,0.0,0.0,1.0349352434120531,2.413813910136804,0.0,0.0,0.21682069921908806,0.25213852933191827,2.3690314628363747,1.6243882189341294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07765969269583667,0.0,0.13943957234716126,0.0,0.0
s02T1722,0.0,0.5430776709111782,8.858459800111445,0.0,0.0,0.14461975439075178,0.0,0.20815415237410226,0.0,1.2158833392278203,0.04270264952754298,0.10004848583617432,0.3834515059629388,0.0,0.07210284065978746,0.9673151129048082,0.018331270340832765,1.4881587376398369,0.0,0.0,0.31516290699120003,0.0,0.0250540149688928,0.0,0.0,0.03776672537020488,0.17787076041865285,0.0,1.4398043806462046,2.5559989577706927,0.0,0.002417399771616102,0.22485105670896924,0.48573489530793584,3.769460931456848,0.6118078958415414,0.6507908846340178,0.0,0.0,0.0,0.009167761753076265,0.0,0.0,0.04832347664862208,0.0,0.006506163884716667,5.147607597759636,0.02523900909943617
s03T1722,0.0,0.3419830104617029,10.554463450299682,0.0,0.0,0.15826241332676202,0.0,0.20414128293568237,0.0,0.6814073188540779,0.06846306705542518,0.0,0.6147464165052555,0.0,0.17582170135418235,1.4608783156083507,0.01960301236141929,1.6863236533763093,0.0,0.0,0.6256069033495875,0.0,0.0,0.0,0.0,0.054554801842652795,0.4280166047864689,0.0,2.850076032384888,4.079454315312407,0.17262046127529462,0.0,0.17936923854695053,0.7256816135490589,4.457545110340135,0.23723182490797343,0.03283019570731313,0.0,0.0,0.0,0.0,0.0,0.0,0.058800761282575116,0.0,0.0786409224475621,1.556455598828448,0.0038191552411409187
s04T1722,0.0,0.6965330346300979,14.044720804908147,0.0,0.0,0.28904331976876035,0.0,0.11886936768728898,0.0,3.1156632960887034,0.1207625168796719,0.0,0.5490169463531261,0.0,0.2501051530673404,1.3181080197761825,0.008682039721983736,2.293527488796724,1.572003600504751,0.0,1.0904594016889277,0.0,0.0,0.0,0.14613263691090486,0.003806611675235711,0.08965681233172045,0.0,2.442059709572813,0.2464155747408103,0.002168490728943572,0.0,0.1030134657649047,0.01539110308520707,2.9485453737198,0.0,0.0,0.0,0.0,0.04542956792237008,0.0,0.0,0.0,0.0,0.0,0.0,14.764245590929145,0.0
s05T1722,0.0,0.7147999549973475,19.29617981414777,0.0,0.0,0.14507362198657056,0.0,0.22810555310417605,0.0,3.1889314134382456,0.10286803888590179,0.0,1.431504230705061,0.0,0.6027992140179568,1.4013791301303207,0.02216692743334448,3.065217998475296,2.171793613907335,0.0,1.1512487176209607,0.0,0.011233038533363476,0.0,0.0865525314373085,0.0,0.6662086843366811,0.0,5.025365322156089,1.4251007451750797,0.30136779006583064,0.0,0.3112287333577522,0.0,4.8751262604271615,0.0,0.0,0.0,0.0,0.049529920903284855,0.0,0.0,0.0,0.0,0.0,0.0,27.29147988680726,0.0
s06T1722,0.0,0.3590489496717684,8.40430445026049,0.0,0.0,0.10696904627004471,0.0,0.1159734573591318,0.0,1.7077164678641823,0.052122300651029956,0.007885596956491032,0.16041627726305313,0.0,0.09846037395265003,0.49880455307219085,0.0010233782431427806,0.8493769146157741,2.8530421757209083,0.0,0.35993870690287644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.898644288573779,0.0,0.48656609362547,0.0,0.046072280940042815,0.0,1.016809528129339,0.0,0.0,0.0,0.0,0.01870838919932508,0.0,0.0,0.0,0.0,0.0,0.0,6.243728961532158,0.0
s07T1722,0.0,0.3017361016129468,17.182489184948736,0.13032399902626968,0.0,0.0,0.0,0.3075225985322505,0.0,0.2917149707757968,0.19630449353925272,0.0,1.3341162956427397,0.0,0.48168403616420624,0.06545000824036666,0.03185141789730867,0.0,2.508383966922994,0.0,0.9792311790306031,0.0,0.45864406852893236,0.0,0.21584085872228373,0.02248872034032024,0.0,0.0,3.204844610420033,4.832040247041853,0.0,0.0,0.7402904104632756,1.064086219356575,0.7725843132026334,0.8725438159906018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09583703043843765,0.0,0.10521309721780621,0.0,0.0
s08T1722,0.0,2.574557435214924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.598757178301282,0.010320377925952211,0.08249637525302447,8.309989959062827,0.0,0.0,0.0,0.0,0.008688299767239305,0.0,0.0,0.0,0.22189240715497574,0.0,0.0,0.0,17.5508443887567,0.0,0.7628987688489509,0.0,2.1922116129848574,0.0,0.0,0.0,0.0,0.0,0.0,0.8599854576146992,0.0,5.547043192663459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1722,0.0,6.04323369418941,0.16597214904660948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52047940055752,0.019424842794225117,0.0,7.429029513046473,0.0,0.0,0.0,2.477693102757645,0.0,0.7653447429158323,0.0,0.0,0.1779026131366204,0.0,0.0,0.0,12.219730012130217,0.04681346535133991,0.5594924051396631,0.0,1.8311816344475915,0.4308607016184872,0.0,0.0,0.0,0.0,0.0,0.6366469513988031,0.0,4.436304220589624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
